city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,680.8,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,680.8,445.0,0.0,0.3464,1.0,10,10000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,445.0,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,445.0,445.0,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,445.0,0.0,0.3438,1.0,10,10000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,445.0,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,730.9,680.8,0.0,0.0686,1.0,10,10000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,730.9,445.0,0.0,0.3912,1.0,10,10000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.8,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.8,445.0,0.0,0.3415,1.0,10,10000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,674.7,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.7,445.0,0.0,0.3404,1.0,10,10000002048
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,667.9,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,667.9,445.0,0.0,0.3337,1.0,10,10000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,680.8,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,680.8,445.0,0.0,0.3464,1.0,10,10000002048
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,1,445.0,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,445.0,445.0,0.0,0.0,1.0,10,10000002048
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,445.0,0.0,0.3438,1.0,10,10000002048
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,445.0,0.0,0.0,1.0,10,10000002048
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,730.9,680.8,0.0,0.0686,1.0,10,10000002048
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,730.9,445.0,0.0,0.3912,1.0,10,10000002048
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.8,680.8,0.0,0.0,1.0,10,10000002048
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.8,445.0,0.0,0.3415,1.0,10,10000002048
